Year,team,conference,total.games,total.wins,total.losses,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownConversions,thirdDowns,totalYards,turnovers,sacks,tacklesForLoss,division,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2010,Missouri,Big 12,13,10,3,286.0,6.0,12.0,8.0,11.0,13.0,0.0,359.0,10.0,1.0,696.0,33.0,3434.0,490.0,312.0,18.0,17.0,79.0,747.0,13890.0,0.0,158.0,44.0,439.0,28.0,2033.0,70.0,184.0,5325.0,18.0,,,North,0,8,6,2,0,6,6,0,0,4,2,2,0
2010,NC State,ACC,13,9,4,304.0,13.0,20.0,8.0,20.0,13.0,2.0,164.0,14.0,0.0,855.0,46.0,3883.0,545.0,319.0,9.0,28.0,65.0,473.0,15337.0,3.0,205.0,41.0,461.0,17.0,1603.0,90.0,208.0,5258.0,22.0,,,Atlantic,0,8,5,3,0,6,5,1,0,6,3,3,0
2010,Navy,FBS Independents,13,9,4,265.0,13.0,20.0,10.0,16.0,13.0,0.0,66.0,6.0,0.0,1123.0,50.0,1626.0,157.0,84.0,7.0,13.0,44.0,359.0,14973.0,0.0,70.0,21.0,692.0,37.0,3702.0,88.0,170.0,5262.0,16.0,,,,0,0,0,0,0,5,4,1,0,5,3,2,0
2010,Nebraska,Big 12,14,10,4,254.0,9.0,14.0,16.0,4.0,14.0,4.0,313.0,8.0,1.0,895.0,39.0,2305.0,282.0,163.0,19.0,16.0,109.0,993.0,16197.0,1.0,297.0,44.0,634.0,32.0,3466.0,79.0,192.0,5574.0,24.0,,,North,0,9,6,3,0,7,6,1,0,5,4,1,0
2010,Nevada,Western Athletic,14,13,1,369.0,18.0,24.0,10.0,12.0,14.0,2.0,210.0,9.0,0.0,1076.0,48.0,3244.0,375.0,241.0,12.0,22.0,72.0,681.0,17028.0,1.0,244.0,37.0,669.0,52.0,4091.0,101.0,187.0,7268.0,19.0,,,,0,8,7,1,0,7,7,0,0,6,5,1,0
2010,New Mexico,Mountain West,12,1,11,188.0,8.0,19.0,16.0,15.0,12.0,0.0,53.0,15.0,1.0,1648.0,70.0,2096.0,365.0,192.0,4.0,11.0,79.0,718.0,13013.0,0.0,23.0,28.0,440.0,10.0,1296.0,59.0,183.0,3188.0,31.0,,,,0,9,1,8,0,6,1,5,0,6,0,6,0
2010,New Mexico State,Western Athletic,12,2,10,204.0,10.0,19.0,9.0,8.0,12.0,2.0,89.0,9.0,0.0,1586.0,67.0,2141.0,376.0,185.0,4.0,9.0,75.0,741.0,14391.0,0.0,107.0,33.0,449.0,8.0,1549.0,56.0,189.0,3558.0,18.0,,,,0,8,1,7,0,6,2,4,0,6,0,6,0
2010,North Carolina,ACC,13,8,5,246.0,14.0,23.0,14.0,5.0,13.0,2.0,287.0,9.0,0.0,917.0,45.0,3697.0,425.0,283.0,19.0,19.0,99.0,757.0,15102.0,0.0,128.0,32.0,440.0,18.0,1634.0,71.0,182.0,5066.0,23.0,,,Coastal,0,8,4,4,0,6,3,3,0,5,4,1,0
2010,North Texas,Sun Belt,12,3,9,224.0,9.0,16.0,9.0,7.0,12.0,0.0,74.0,9.0,2.0,1409.0,58.0,2262.0,316.0,182.0,8.0,16.0,84.0,603.0,13794.0,0.0,43.0,34.0,489.0,17.0,2426.0,71.0,179.0,4503.0,18.0,,,,0,8,3,5,0,6,0,6,0,6,3,3,0
2010,Northern Illinois,Mid-American,14,11,3,302.0,5.0,13.0,6.0,9.0,14.0,2.0,176.0,8.0,1.0,857.0,39.0,2737.0,329.0,208.0,16.0,23.0,63.0,587.0,16171.0,1.0,266.0,44.0,581.0,42.0,3645.0,86.0,170.0,6300.0,14.0,,,West,0,9,8,1,0,5,5,0,0,7,5,2,0
